,Year,Braut,tegund_nams,kk,kv,samtals_utt
100,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,48,32,80
101,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
102,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,18,31,49
103,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,0,0,0
104,2007,Jarðvísindadeild,,14,10,24
105,2007,Jarðvísindadeild,Grunnnám,9,6,15
106,2007,Jarðvísindadeild,Viðbótarnám,0,0,0
107,2007,Jarðvísindadeild,Meistarapróf,3,4,7
108,2007,Jarðvísindadeild,Doktorspróf,2,0,2
109,2007,Líf- og umhverfisvísindadeild,,23,66,89
110,2007,Líf- og umhverfisvísindadeild,Grunnnám,16,58,74
111,2007,Líf- og umhverfisvísindadeild,Viðbótarnám,0,0,0
112,2007,Líf- og umhverfisvísindadeild,Meistarapróf,7,8,15
113,2007,Líf- og umhverfisvísindadeild,Doktorspróf,0,0,0
114,2007,Umhverfis- og auðlindafræði,,2,0,2
115,2007,Umhverfis- og auðlindafræði,Grunnnám,0,0,0
116,2007,Umhverfis- og auðlindafræði,Viðbótarnám,0,0,0
117,2007,Umhverfis- og auðlindafræði,Meistarapróf,2,0,2
118,2007,Umhverfis- og auðlindafræði,Doktorspróf,0,0,0
119,2007,Rafmagns- og tölvuverkfræðideild,,33,0,33
120,2007,Rafmagns- og tölvuverkfræðideild,Grunnnám,32,0,32
121,2007,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
122,2007,Rafmagns- og tölvuverkfræðideild,Meistarapróf,1,0,1
123,2007,Rafmagns- og tölvuverkfræðideild,Doktorspróf,0,0,0
124,2007,Raunvísindadeild,,47,12,59
125,2007,Raunvísindadeild,Grunnnám,41,10,51
126,2007,Raunvísindadeild,Viðbótarnám,1,1,2
127,2007,Raunvísindadeild,Meistarapróf,5,1,6
128,2007,Raunvísindadeild,Doktorspróf,0,0,0
129,2007,Umhverfis- og byggingaverkfræðideild,,15,11,26
130,2007,Umhverfis- og byggingaverkfræðideild,Grunnnám,9,9,18
131,2007,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
132,2007,Umhverfis- og byggingaverkfræðideild,Meistarapróf,6,2,8
133,2007,Umhverfis- og byggingaverkfræðideild,Doktorspróf,0,0,0
134,2008,Félags- og mannvísindadeild,,25,143,168
135,2008,Félags- og mannvísindadeild,Grunnnám,17,65,82
136,2008,Félags- og mannvísindadeild,Viðbótarnám,1,51,52
137,2008,Félags- og mannvísindadeild,Meistarapróf,7,27,34
138,2008,Félags- og mannvísindadeild,Doktorspróf,0,0,0
139,2008,Félagsráðgjafardeild,,4,81,85
140,2008,Félagsráðgjafardeild,Grunnnám,2,64,66
141,2008,Félagsráðgjafardeild,Viðbótarnám,2,9,11
142,2008,Félagsráðgjafardeild,Meistarapróf,0,8,8
143,2008,Félagsráðgjafardeild,Doktorspróf,0,0,0
144,2008,Hagfræðideild,,33,19,52
145,2008,Hagfræðideild,Grunnnám,31,15,46
146,2008,Hagfræðideild,Viðbótarnám,0,0,0
147,2008,Hagfræðideild,Meistarapróf,2,4,6
148,2008,Hagfræðideild,Doktorspróf,0,0,0
149,2008,Lagadeild,,66,72,138
150,2008,Lagadeild,Grunnnám,42,42,84
151,2008,Lagadeild,Viðbótarnám,0,0,0
152,2008,Lagadeild,Meistarapróf,24,30,54
153,2008,Lagadeild,Doktorspróf,0,0,0
154,2008,Stjórnmálafræðideild,,43,78,121
155,2008,Stjórnmálafræðideild,Grunnnám,16,21,37
156,2008,Stjórnmálafræðideild,Viðbótarnám,7,30,37
157,2008,Stjórnmálafræðideild,Meistarapróf,19,27,46
158,2008,Stjórnmálafræðideild,Doktorspróf,1,0,1
159,2008,Viðskiptafræðideild,,83,97,180
160,2008,Viðskiptafræðideild,Grunnnám,35,30,65
161,2008,Viðskiptafræðideild,Viðbótarnám,0,0,0
162,2008,Viðskiptafræðideild,Meistarapróf,48,67,115
163,2008,Viðskiptafræðideild,Doktorspróf,0,0,0
164,2008,Hjúkrunarfræðideild,,1,108,109
165,2008,Hjúkrunarfræðideild,Grunnnám,0,68,68
