,Year,Braut,tegund_nams,kk,kv,samtals_utt
427,2010,Stjórnmálafræðideild,Meistarapróf,14,19,33
428,2010,Stjórnmálafræðideild,Doktorspróf,0,0,0
429,2010,Viðskiptafræðideild,,99,151,250
430,2010,Viðskiptafræðideild,Grunnnám,38,51,89
431,2010,Viðskiptafræðideild,Viðbótarnám,1,1,2
432,2010,Viðskiptafræðideild,Meistarapróf,59,99,158
433,2010,Viðskiptafræðideild,Doktorspróf,1,0,1
434,2010,Hjúkrunarfræðideild,,6,140,146
435,2010,Hjúkrunarfræðideild,Grunnnám,4,76,80
436,2010,Hjúkrunarfræðideild,Viðbótarnám,1,43,44
437,2010,Hjúkrunarfræðideild,Meistarapróf,1,21,22
438,2010,Hjúkrunarfræðideild,Doktorspróf,0,0,0
439,2010,Lyfjafræðideild,,13,33,46
440,2010,Lyfjafræðideild,Grunnnám,7,15,22
441,2010,Lyfjafræðideild,Viðbótarnám,0,0,0
442,2010,Lyfjafræðideild,Meistarapróf,5,18,23
443,2010,Lyfjafræðideild,Doktorspróf,1,0,1
444,2010,Læknadeild,,52,109,161
445,2010,Læknadeild,Grunnnám,42,74,116
446,2010,Læknadeild,Viðbótarnám,0,14,14
447,2010,Læknadeild,Meistarapróf,8,16,24
448,2010,Læknadeild,Doktorspróf,2,5,7
449,2010,Lýðheilsuvísindi,,0,0,0
450,2010,Lýðheilsuvísindi,Grunnnám,0,0,0
451,2010,Lýðheilsuvísindi,Viðbótarnám,0,0,0
452,2010,Lýðheilsuvísindi,Meistarapróf,0,0,0
453,2010,Lýðheilsuvísindi,Doktorspróf,0,0,0
454,2010,Matvæla- og næringarfræðideild,,4,12,16
455,2010,Matvæla- og næringarfræðideild,Grunnnám,2,6,8
456,2010,Matvæla- og næringarfræðideild,Viðbótarnám,0,1,1
457,2010,Matvæla- og næringarfræðideild,Meistarapróf,0,4,4
458,2010,Matvæla- og næringarfræðideild,Doktorspróf,2,1,3
459,2010,Sálfræðideild,,17,65,82
460,2010,Sálfræðideild,Grunnnám,10,51,61
461,2010,Sálfræðideild,Viðbótarnám,0,0,0
462,2010,Sálfræðideild,Meistarapróf,7,14,21
463,2010,Sálfræðideild,Doktorspróf,0,0,0
464,2010,Tannlæknadeild,,3,6,9
465,2010,Tannlæknadeild,Grunnnám,2,6,8
466,2010,Tannlæknadeild,Viðbótarnám,0,0,0
467,2010,Tannlæknadeild,Meistarapróf,1,0,1
468,2010,Tannlæknadeild,Doktorspróf,0,0,0
469,2010,"Deild erlendra tungumála, bókmennta og málvísinda",,19,78,97
470,2010,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,19,70,89
471,2010,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,0,0,0
472,2010,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,0,8,8
473,2010,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,0,0,0
474,2010,Guðfræði- og trúarbragðafræðideild,,4,15,19
475,2010,Guðfræði- og trúarbragðafræðideild,Grunnnám,4,9,13
476,2010,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,0,6,6
477,2010,Guðfræði- og trúarbragðafræðideild,Meistarapróf,0,0,0
478,2010,Guðfræði- og trúarbragðafræðideild,Doktorspróf,0,0,0
479,2010,Íslensku- og menningardeild,,31,90,121
480,2010,Íslensku- og menningardeild,Grunnnám,19,68,87
481,2010,Íslensku- og menningardeild,Viðbótarnám,1,1,2
482,2010,Íslensku- og menningardeild,Meistarapróf,10,21,31
483,2010,Íslensku- og menningardeild,Doktorspróf,1,0,1
484,2010,Sagnfræði- og heimspekideild,,23,103,59
485,2010,Sagnfræði- og heimspekideild,Grunnnám,18,84,35
486,2010,Sagnfræði- og heimspekideild,Viðbótarnám,0,0,0
487,2010,Sagnfræði- og heimspekideild,Meistarapróf,5,18,23
488,2010,Sagnfræði- og heimspekideild,Doktorspróf,0,1,1
489,2010,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,21,90,111
490,2010,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,18,84,102
491,2010,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,3,6,9
492,2010,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,0,0,0
493,2010,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
494,2010,Kennaradeild,,69,373,442
495,2010,Kennaradeild,Grunnnám,44,276,320
496,2010,Kennaradeild,Viðbótarnám,23,76,99
497,2010,Kennaradeild,Meistarapróf,2,21,23
498,2010,Kennaradeild,Doktorspróf,0,0,0
499,2010,Uppeldis- og menntunarfræðideild,,8,66,74
500,2010,Uppeldis- og menntunarfræðideild,Grunnnám,1,17,18
501,2010,Uppeldis- og menntunarfræðideild,Viðbótarnám,2,15,17
502,2010,Uppeldis- og menntunarfræðideild,Meistarapróf,5,33,38
503,2010,Uppeldis- og menntunarfræðideild,Doktorspróf,0,1,1
504,2010,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,79,52,131
505,2010,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,51,26,77
506,2010,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
507,2010,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,27,26,53
508,2010,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,1,0,1
509,2010,Jarðvísindadeild,,10,16,26
510,2010,Jarðvísindadeild,Grunnnám,2,9,11
511,2010,Jarðvísindadeild,Viðbótarnám,0,0,0
512,2010,Jarðvísindadeild,Meistarapróf,7,5,12
513,2010,Jarðvísindadeild,Doktorspróf,1,2,3
514,2010,Líf- og umhverfisvísindadeild,,29,56,85
515,2010,Líf- og umhverfisvísindadeild,Grunnnám,20,45,65
516,2010,Líf- og umhverfisvísindadeild,Viðbótarnám,0,1,1
517,2010,Líf- og umhverfisvísindadeild,Meistarapróf,6,7,13
518,2010,Líf- og umhverfisvísindadeild,Doktorspróf,3,3,6
519,2010,Umhverfis- og auðlindafræði,,17,25,42
520,2010,Umhverfis- og auðlindafræði,Grunnnám,14,2,16
521,2010,Umhverfis- og auðlindafræði,Viðbótarnám,0,5,5
522,2010,Umhverfis- og auðlindafræði,Meistarapróf,3,18,21
523,2010,Umhverfis- og auðlindafræði,Doktorspróf,0,0,0
524,2010,Rafmagns- og tölvuverkfræðideild,,4,10,14
525,2010,Rafmagns- og tölvuverkfræðideild,Grunnnám,2,9,11
526,2010,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,1,0,1
527,2010,Rafmagns- og tölvuverkfræðideild,Meistarapróf,0,0,0
528,2010,Rafmagns- og tölvuverkfræðideild,Doktorspróf,1,1,2
529,2010,Raunvísindadeild,,32,22,54
530,2010,Raunvísindadeild,Grunnnám,18,15,33
531,2010,Raunvísindadeild,Viðbótarnám,0,0,0
532,2010,Raunvísindadeild,Meistarapróf,7,6,13
533,2010,Raunvísindadeild,Doktorspróf,7,1,8
534,2010,Umhverfis- og byggingaverkfræðideild,,24,14,38
535,2010,Umhverfis- og byggingaverkfræðideild,Grunnnám,19,11,30
536,2010,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
537,2010,Umhverfis- og byggingaverkfræðideild,Meistarapróf,4,3,7
538,2010,Umhverfis- og byggingaverkfræðideild,Doktorspróf,1,0,1
539,2011,Félags- og mannvísindadeild,,25,145,170
540,2011,Félags- og mannvísindadeild,Grunnnám,13,61,74
541,2011,Félags- og mannvísindadeild,Viðbótarnám,4,24,28
542,2011,Félags- og mannvísindadeild,Meistarapróf,8,59,67
543,2011,Félags- og mannvísindadeild,Doktorspróf,0,1,1
544,2011,Félagsráðgjafardeild,,2,66,68
545,2011,Félagsráðgjafardeild,Grunnnám,2,44,46
546,2011,Félagsráðgjafardeild,Viðbótarnám,0,7,7
547,2011,Félagsráðgjafardeild,Meistarapróf,0,15,15
548,2011,Félagsráðgjafardeild,Doktorspróf,0,0,0
549,2011,Hagfræðideild,,23,23,46
550,2011,Hagfræðideild,Grunnnám,16,14,30
551,2011,Hagfræðideild,Viðbótarnám,0,0,0
552,2011,Hagfræðideild,Meistarapróf,7,9,16
553,2011,Hagfræðideild,Doktorspróf,0,0,0
554,2011,Lagadeild,,62,74,136
555,2011,Lagadeild,Grunnnám,35,38,73
556,2011,Lagadeild,Viðbótarnám,0,0,0
557,2011,Lagadeild,Meistarapróf,26,36,62
558,2011,Lagadeild,Doktorspróf,1,0,1
559,2011,Stjórnmálafræðideild,,46,99,145
560,2011,Stjórnmálafræðideild,Grunnnám,13,30,43
561,2011,Stjórnmálafræðideild,Viðbótarnám,17,34,51
562,2011,Stjórnmálafræðideild,Meistarapróf,15,35,50
563,2011,Stjórnmálafræðideild,Doktorspróf,1,0,1
564,2011,Viðskiptafræðideild,,109,153,262
565,2011,Viðskiptafræðideild,Grunnnám,41,52,93
566,2011,Viðskiptafræðideild,Viðbótarnám,0,0,0
567,2011,Viðskiptafræðideild,Meistarapróf,67,101,168
568,2011,Viðskiptafræðideild,Doktorspróf,1,0,1
569,2011,Hjúkrunarfræðideild,,3,96,99
570,2011,Hjúkrunarfræðideild,Grunnnám,3,71,74
571,2011,Hjúkrunarfræðideild,Viðbótarnám,0,6,6
572,2011,Hjúkrunarfræðideild,Meistarapróf,0,19,19
573,2011,Hjúkrunarfræðideild,Doktorspróf,0,0,0
574,2011,Lyfjafræðideild,,10,22,32
575,2011,Lyfjafræðideild,Grunnnám,4,10,14
576,2011,Lyfjafræðideild,Viðbótarnám,0,0,0
577,2011,Lyfjafræðideild,Meistarapróf,5,11,16
578,2011,Lyfjafræðideild,Doktorspróf,1,1,2
579,2011,Læknadeild,,46,106,152
580,2011,Læknadeild,Grunnnám,41,76,117
581,2011,Læknadeild,Viðbótarnám,1,10,11
582,2011,Læknadeild,Meistarapróf,0,15,15
583,2011,Læknadeild,Doktorspróf,4,5,9
584,2011,Lýðheilsuvísindi,,1,23,24
585,2011,Lýðheilsuvísindi,Grunnnám,0,0,0
586,2011,Lýðheilsuvísindi,Viðbótarnám,0,8,8
587,2011,Lýðheilsuvísindi,Meistarapróf,1,14,15
588,2011,Lýðheilsuvísindi,Doktorspróf,0,1,1
589,2011,Matvæla- og næringarfræðideild,,3,13,16
590,2011,Matvæla- og næringarfræðideild,Grunnnám,0,7,7
591,2011,Matvæla- og næringarfræðideild,Viðbótarnám,0,0,0
592,2011,Matvæla- og næringarfræðideild,Meistarapróf,2,5,7
593,2011,Matvæla- og næringarfræðideild,Doktorspróf,1,1,2
594,2011,Sálfræðideild,,32,81,113
595,2011,Sálfræðideild,Grunnnám,29,56,85
596,2011,Sálfræðideild,Viðbótarnám,0,0,0
597,2011,Sálfræðideild,Meistarapróf,3,25,28
598,2011,Sálfræðideild,Doktorspróf,0,0,0
599,2011,Tannlæknadeild,,2,8,10
600,2011,Tannlæknadeild,Grunnnám,2,8,10
601,2011,Tannlæknadeild,Viðbótarnám,0,0,0
602,2011,Tannlæknadeild,Meistarapróf,0,0,0
603,2011,Tannlæknadeild,Doktorspróf,0,0,0
604,2011,"Deild erlendra tungumála, bókmennta og málvísinda",,23,70,93
605,2011,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,23,64,87
606,2011,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,0,0,0
607,2011,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,0,6,6
608,2011,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,0,0,0
609,2011,Guðfræði- og trúarbragðafræðideild,,38,76,114
610,2011,Guðfræði- og trúarbragðafræðideild,Grunnnám,37,74,111
611,2011,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,0,2,2
612,2011,Guðfræði- og trúarbragðafræðideild,Meistarapróf,1,0,1
613,2011,Guðfræði- og trúarbragðafræðideild,Doktorspróf,0,0,0
614,2011,Íslensku- og menningardeild,,36,132,168
615,2011,Íslensku- og menningardeild,Grunnnám,25,81,106
616,2011,Íslensku- og menningardeild,Viðbótarnám,0,1,1
617,2011,Íslensku- og menningardeild,Meistarapróf,9,49,58
618,2011,Íslensku- og menningardeild,Doktorspróf,2,1,3
619,2011,Sagnfræði- og heimspekideild,,40,53,75
620,2011,Sagnfræði- og heimspekideild,Grunnnám,26,27,35
621,2011,Sagnfræði- og heimspekideild,Viðbótarnám,0,0,0
622,2011,Sagnfræði- og heimspekideild,Meistarapróf,14,23,37
623,2011,Sagnfræði- og heimspekideild,Doktorspróf,0,3,3
624,2011,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,38,79,117
625,2011,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,37,74,111
626,2011,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,0,0,0
627,2011,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,1,5,6
628,2011,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
629,2011,Kennaradeild,,86,387,473
630,2011,Kennaradeild,Grunnnám,55,288,343
631,2011,Kennaradeild,Viðbótarnám,27,77,104
632,2011,Kennaradeild,Meistarapróf,4,22,26
633,2011,Kennaradeild,Doktorspróf,0,0,0
634,2011,Uppeldis- og menntunarfræðideild,,7,86,93
635,2011,Uppeldis- og menntunarfræðideild,Grunnnám,1,20,21
636,2011,Uppeldis- og menntunarfræðideild,Viðbótarnám,2,18,20
637,2011,Uppeldis- og menntunarfræðideild,Meistarapróf,3,46,49
638,2011,Uppeldis- og menntunarfræðideild,Doktorspróf,1,2,3
639,2011,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,92,42,134
640,2011,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,59,17,76
641,2011,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
642,2011,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,32,25,57
643,2011,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,1,0,1
644,2011,Jarðvísindadeild,,15,8,23
645,2011,Jarðvísindadeild,Grunnnám,4,6,10
646,2011,Jarðvísindadeild,Viðbótarnám,0,0,0
647,2011,Jarðvísindadeild,Meistarapróf,9,2,11
648,2011,Jarðvísindadeild,Doktorspróf,2,0,2
649,2011,Líf- og umhverfisvísindadeild,,33,51,84
650,2011,Líf- og umhverfisvísindadeild,Grunnnám,23,41,64
651,2011,Líf- og umhverfisvísindadeild,Viðbótarnám,0,0,0
652,2011,Líf- og umhverfisvísindadeild,Meistarapróf,6,8,14
653,2011,Líf- og umhverfisvísindadeild,Doktorspróf,4,2,6
654,2011,Umhverfis- og auðlindafræði,,2,9,11
655,2011,Umhverfis- og auðlindafræði,Grunnnám,0,0,0
656,2011,Umhverfis- og auðlindafræði,Viðbótarnám,0,0,0
657,2011,Umhverfis- og auðlindafræði,Meistarapróf,2,9,11
658,2011,Umhverfis- og auðlindafræði,Doktorspróf,0,0,0
659,2011,Rafmagns- og tölvuverkfræðideild,,10,6,16
660,2011,Rafmagns- og tölvuverkfræðideild,Grunnnám,7,5,12
661,2011,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
662,2011,Rafmagns- og tölvuverkfræðideild,Meistarapróf,1,0,1
663,2011,Rafmagns- og tölvuverkfræðideild,Doktorspróf,2,1,3
664,2011,Raunvísindadeild,,28,19,47
665,2011,Raunvísindadeild,Grunnnám,18,9,27
666,2011,Raunvísindadeild,Viðbótarnám,0,0,0
667,2011,Raunvísindadeild,Meistarapróf,4,5,9
668,2011,Raunvísindadeild,Doktorspróf,6,5,11
669,2011,Umhverfis- og byggingaverkfræðideild,,45,14,59
670,2011,Umhverfis- og byggingaverkfræðideild,Grunnnám,33,11,44
671,2011,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
672,2011,Umhverfis- og byggingaverkfræðideild,Meistarapróf,12,3,15
673,2011,Umhverfis- og byggingaverkfræðideild,Doktorspróf,0,0,0
674,2012,Félags- og mannvísindadeild,,45,187,232
675,2012,Félags- og mannvísindadeild,Grunnnám,30,96,126
676,2012,Félags- og mannvísindadeild,Viðbótarnám,9,38,47
677,2012,Félags- og mannvísindadeild,Meistarapróf,5,53,58
678,2012,Félags- og mannvísindadeild,Doktorspróf,1,0,1
679,2012,Félagsráðgjafardeild,,9,114,123
680,2012,Félagsráðgjafardeild,Grunnnám,6,76,82
681,2012,Félagsráðgjafardeild,Viðbótarnám,0,2,2
682,2012,Félagsráðgjafardeild,Meistarapróf,3,36,39
683,2012,Félagsráðgjafardeild,Doktorspróf,0,0,0
684,2012,Hagfræðideild,,35,31,66
685,2012,Hagfræðideild,Grunnnám,24,18,42
686,2012,Hagfræðideild,Viðbótarnám,11,13,24
687,2012,Hagfræðideild,Meistarapróf,0,0,0
688,2012,Hagfræðideild,Doktorspróf,0,0,0
689,2012,Lagadeild,,36,31,67
690,2012,Lagadeild,Grunnnám,24,18,42
691,2012,Lagadeild,Viðbótarnám,0,0,0
692,2012,Lagadeild,Meistarapróf,11,13,24
693,2012,Lagadeild,Doktorspróf,1,0,1
694,2012,Stjórnmálafræðideild,,44,106,150
695,2012,Stjórnmálafræðideild,Grunnnám,22,30,52
696,2012,Stjórnmálafræðideild,Viðbótarnám,9,48,57
697,2012,Stjórnmálafræðideild,Meistarapróf,13,27,40
698,2012,Stjórnmálafræðideild,Doktorspróf,0,1,1
699,2012,Viðskiptafræðideild,,110,174,284
700,2012,Viðskiptafræðideild,Grunnnám,35,59,94
701,2012,Viðskiptafræðideild,Viðbótarnám,0,0,0
702,2012,Viðskiptafræðideild,Meistarapróf,74,114,188
703,2012,Viðskiptafræðideild,Doktorspróf,1,1,2
704,2012,Hjúkrunarfræðideild,,2,97,99
705,2012,Hjúkrunarfræðideild,Grunnnám,1,52,53
706,2012,Hjúkrunarfræðideild,Viðbótarnám,1,31,32
707,2012,Hjúkrunarfræðideild,Meistarapróf,0,13,13
708,2012,Hjúkrunarfræðideild,Doktorspróf,0,1,1
709,2012,Lyfjafræðideild,,7,29,36
710,2012,Lyfjafræðideild,Grunnnám,3,13,16
711,2012,Lyfjafræðideild,Viðbótarnám,4,16,20
712,2012,Lyfjafræðideild,Meistarapróf,0,0,0
713,2012,Lyfjafræðideild,Doktorspróf,0,0,0
714,2012,Læknadeild,,57,102,159
715,2012,Læknadeild,Grunnnám,50,72,122
716,2012,Læknadeild,Viðbótarnám,1,12,13
717,2012,Læknadeild,Meistarapróf,3,17,20
718,2012,Læknadeild,Doktorspróf,3,1,4
719,2012,Lýðheilsuvísindi,,0,27,27
720,2012,Lýðheilsuvísindi,Grunnnám,0,0,0
721,2012,Lýðheilsuvísindi,Viðbótarnám,0,8,8
722,2012,Lýðheilsuvísindi,Meistarapróf,0,16,16
723,2012,Lýðheilsuvísindi,Doktorspróf,0,3,3
724,2012,Matvæla- og næringarfræðideild,,4,26,30
725,2012,Matvæla- og næringarfræðideild,Grunnnám,4,20,24
726,2012,Matvæla- og næringarfræðideild,Viðbótarnám,0,0,0
727,2012,Matvæla- og næringarfræðideild,Meistarapróf,0,5,5
728,2012,Matvæla- og næringarfræðideild,Doktorspróf,0,1,1
729,2012,Sálfræðideild,,28,84,112
730,2012,Sálfræðideild,Grunnnám,22,61,83
731,2012,Sálfræðideild,Viðbótarnám,0,0,0
732,2012,Sálfræðideild,Meistarapróf,6,23,29
733,2012,Sálfræðideild,Doktorspróf,0,0,0
734,2012,Tannlæknadeild,,2,16,18
735,2012,Tannlæknadeild,Grunnnám,2,14,16
736,2012,Tannlæknadeild,Viðbótarnám,0,2,2
737,2012,Tannlæknadeild,Meistarapróf,0,0,0
738,2012,Tannlæknadeild,Doktorspróf,0,0,0
739,2012,"Deild erlendra tungumála, bókmennta og málvísinda",,39,89,128
740,2012,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,36,79,115
741,2012,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,0,0,0
742,2012,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,3,10,13
743,2012,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,0,0,0
744,2012,Guðfræði- og trúarbragðafræðideild,,11,18,29
745,2012,Guðfræði- og trúarbragðafræðideild,Grunnnám,7,15,22
746,2012,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,0,1,1
747,2012,Guðfræði- og trúarbragðafræðideild,Meistarapróf,4,1,5
748,2012,Guðfræði- og trúarbragðafræðideild,Doktorspróf,0,1,1
749,2012,Íslensku- og menningardeild,,56,110,166
750,2012,Íslensku- og menningardeild,Grunnnám,30,70,100
751,2012,Íslensku- og menningardeild,Viðbótarnám,0,3,3
752,2012,Íslensku- og menningardeild,Meistarapróf,25,37,62
753,2012,Íslensku- og menningardeild,Doktorspróf,1,0,1
754,2012,Sagnfræði- og heimspekideild,,48,53,101
755,2012,Sagnfræði- og heimspekideild,Grunnnám,37,24,61
756,2012,Sagnfræði- og heimspekideild,Viðbótarnám,1,2,3
757,2012,Sagnfræði- og heimspekideild,Meistarapróf,8,27,35
758,2012,Sagnfræði- og heimspekideild,Doktorspróf,2,0,2
759,2012,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,20,77,97
760,2012,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,18,73,91
761,2012,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,0,0,0
762,2012,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,2,4,6
763,2012,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
764,2012,Kennaradeild,,42,200,242
765,2012,Kennaradeild,Grunnnám,29,144,173
766,2012,Kennaradeild,Viðbótarnám,8,32,40
767,2012,Kennaradeild,Meistarapróf,5,24,29
768,2012,Kennaradeild,Doktorspróf,0,0,0
769,2012,Uppeldis- og menntunarfræðideild,,10,94,104
770,2012,Uppeldis- og menntunarfræðideild,Grunnnám,3,31,34
771,2012,Uppeldis- og menntunarfræðideild,Viðbótarnám,1,17,18
772,2012,Uppeldis- og menntunarfræðideild,Meistarapróf,6,44,50
773,2012,Uppeldis- og menntunarfræðideild,Doktorspróf,0,2,2
774,2012,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,105,39,144
775,2012,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,80,33,113
776,2012,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
777,2012,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,24,5,29
778,2012,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,1,1,2
779,2012,Jarðvísindadeild,,14,26,40
780,2012,Jarðvísindadeild,Grunnnám,9,18,27
781,2012,Jarðvísindadeild,Viðbótarnám,0,0,0
782,2012,Jarðvísindadeild,Meistarapróf,4,6,10
783,2012,Jarðvísindadeild,Doktorspróf,1,2,3
784,2012,Líf- og umhverfisvísindadeild,,42,70,112
785,2012,Líf- og umhverfisvísindadeild,Grunnnám,37,61,98
786,2012,Líf- og umhverfisvísindadeild,Viðbótarnám,1,1,2
787,2012,Líf- og umhverfisvísindadeild,Meistarapróf,4,6,10
788,2012,Líf- og umhverfisvísindadeild,Doktorspróf,0,2,2
789,2012,Umhverfis- og auðlindafræði,,5,15,20
790,2012,Umhverfis- og auðlindafræði,Grunnnám,0,0,0
791,2012,Umhverfis- og auðlindafræði,Viðbótarnám,0,0,0
792,2012,Umhverfis- og auðlindafræði,Meistarapróf,5,15,20
793,2012,Umhverfis- og auðlindafræði,Doktorspróf,0,0,0
794,2012,Rafmagns- og tölvuverkfræðideild,,25,3,28
795,2012,Rafmagns- og tölvuverkfræðideild,Grunnnám,23,3,26
796,2012,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
797,2012,Rafmagns- og tölvuverkfræðideild,Meistarapróf,2,0,2
798,2012,Rafmagns- og tölvuverkfræðideild,Doktorspróf,0,0,0
799,2012,Raunvísindadeild,,44,21,65
800,2012,Raunvísindadeild,Grunnnám,29,18,47
801,2012,Raunvísindadeild,Viðbótarnám,0,1,1
802,2012,Raunvísindadeild,Meistarapróf,9,2,11
803,2012,Raunvísindadeild,Doktorspróf,6,0,6
804,2012,Umhverfis- og byggingaverkfræðideild,,33,20,53
805,2012,Umhverfis- og byggingaverkfræðideild,Grunnnám,25,14,39
806,2012,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
807,2012,Umhverfis- og byggingaverkfræðideild,Meistarapróf,8,5,13
808,2012,Umhverfis- og byggingaverkfræðideild,Doktorspróf,0,1,1
809,2013,Félags- og mannvísindadeild,,29,182,211
810,2013,Félags- og mannvísindadeild,Grunnnám,16,94,110
811,2013,Félags- og mannvísindadeild,Viðbótarnám,7,32,39
812,2013,Félags- og mannvísindadeild,Meistarapróf,6,53,59
813,2013,Félags- og mannvísindadeild,Doktorspróf,0,3,3
814,2013,Félagsráðgjafardeild,,10,98,108
815,2013,Félagsráðgjafardeild,Grunnnám,8,72,80
816,2013,Félagsráðgjafardeild,Viðbótarnám,0,1,1
817,2013,Félagsráðgjafardeild,Meistarapróf,2,25,27
818,2013,Félagsráðgjafardeild,Doktorspróf,0,0,0
819,2013,Hagfræðideild,,28,22,50
820,2013,Hagfræðideild,Grunnnám,20,14,34
821,2013,Hagfræðideild,Viðbótarnám,0,0,0
822,2013,Hagfræðideild,Meistarapróf,7,8,15
823,2013,Hagfræðideild,Doktorspróf,1,0,1
824,2013,Lagadeild,,82,93,175
825,2013,Lagadeild,Grunnnám,42,53,95
826,2013,Lagadeild,Viðbótarnám,0,0,0
827,2013,Lagadeild,Meistarapróf,40,40,80
828,2013,Lagadeild,Doktorspróf,0,0,0
829,2013,Stjórnmálafræðideild,,45,96,141
830,2013,Stjórnmálafræðideild,Grunnnám,19,22,41
831,2013,Stjórnmálafræðideild,Viðbótarnám,15,42,57
832,2013,Stjórnmálafræðideild,Meistarapróf,11,31,42
833,2013,Stjórnmálafræðideild,Doktorspróf,0,1,1
834,2013,Viðskiptafræðideild,,109,164,273
835,2013,Viðskiptafræðideild,Grunnnám,50,77,127
836,2013,Viðskiptafræðideild,Viðbótarnám,0,0,0
837,2013,Viðskiptafræðideild,Meistarapróf,59,87,146
838,2013,Viðskiptafræðideild,Doktorspróf,0,0,0
839,2013,Hjúkrunarfræðideild,,1,102,103
840,2013,Hjúkrunarfræðideild,Grunnnám,1,88,89
841,2013,Hjúkrunarfræðideild,Viðbótarnám,0,0,0
842,2013,Hjúkrunarfræðideild,Meistarapróf,0,13,13
843,2013,Hjúkrunarfræðideild,Doktorspróf,0,1,1
844,2013,Lyfjafræðideild,,4,24,28
845,2013,Lyfjafræðideild,Grunnnám,1,11,12
846,2013,Lyfjafræðideild,Viðbótarnám,0,0,0
847,2013,Lyfjafræðideild,Meistarapróf,3,12,15
848,2013,Lyfjafræðideild,Doktorspróf,0,1,1
849,2013,Læknadeild,,59,112,171
850,2013,Læknadeild,Grunnnám,48,75,123
851,2013,Læknadeild,Viðbótarnám,0,14,14
852,2013,Læknadeild,Meistarapróf,5,18,23
853,2013,Læknadeild,Doktorspróf,6,5,11
854,2013,Lýðheilsuvísindi,,2,22,24
855,2013,Lýðheilsuvísindi,Grunnnám,1,9,10
856,2013,Lýðheilsuvísindi,Viðbótarnám,0,0,0
