,Year,Braut,tegund_nams,kk,kv,samtals_inn
98,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,0,0,0
99,2007,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,0,0,0
100,2007,Jarðvísindadeild,,0,0,0
101,2007,Jarðvísindadeild,Grunnnám,0,0,0
102,2007,Jarðvísindadeild,Viðbótarnám,0,0,0
103,2007,Jarðvísindadeild,Meistarapróf,0,0,0
104,2007,Jarðvísindadeild,Doktorspróf,0,0,0
105,2007,Líf- og umhverfisvísindadeild,,0,0,0
106,2007,Líf- og umhverfisvísindadeild,Grunnnám,0,0,0
107,2007,Líf- og umhverfisvísindadeild,Viðbótarnám,0,0,0
108,2007,Líf- og umhverfisvísindadeild,Meistarapróf,0,0,0
109,2007,Líf- og umhverfisvísindadeild,Doktorspróf,0,0,0
110,2007,Rafmagns- og tölvuverkfræðideild,,0,0,0
111,2007,Rafmagns- og tölvuverkfræðideild,Grunnnám,0,0,0
112,2007,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
113,2007,Rafmagns- og tölvuverkfræðideild,Meistarapróf,0,0,0
114,2007,Rafmagns- og tölvuverkfræðideild,Doktorspróf,0,0,0
115,2007,Raunvísindadeild,,0,0,0
116,2007,Raunvísindadeild,Grunnnám,0,0,0
117,2007,Raunvísindadeild,Viðbótarnám,0,0,0
118,2007,Raunvísindadeild,Meistarapróf,0,0,0
119,2007,Raunvísindadeild,Doktorspróf,0,0,0
120,2007,Umhverfis- og byggingaverkfræðideild,,43,12,55
121,2007,Umhverfis- og byggingaverkfræðideild,Grunnnám,0,0,0
122,2007,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
123,2007,Umhverfis- og byggingaverkfræðideild,Meistarapróf,23,6,29
124,2007,Umhverfis- og byggingaverkfræðideild,Doktorspróf,20,6,26
125,2008,Félags- og mannvísindadeild,,177,858,1035
126,2008,Félags- og mannvísindadeild,Grunnnám,84,326,410
127,2008,Félags- og mannvísindadeild,Viðbótarnám,16,149,165
128,2008,Félags- og mannvísindadeild,Meistarapróf,54,299,353
129,2008,Félags- og mannvísindadeild,Doktorspróf,23,84,107
130,2008,Félagsráðgjafardeild,,29,265,294
131,2008,Félagsráðgjafardeild,Grunnnám,24,206,230
132,2008,Félagsráðgjafardeild,Viðbótarnám,3,19,22
133,2008,Félagsráðgjafardeild,Meistarapróf,2,38,40
134,2008,Félagsráðgjafardeild,Doktorspróf,0,2,2
135,2008,Hagfræðideild,,222,190,412
136,2008,Hagfræðideild,Grunnnám,143,98,241
137,2008,Hagfræðideild,Viðbótarnám,0,0,0
138,2008,Hagfræðideild,Meistarapróf,75,92,167
139,2008,Hagfræðideild,Doktorspróf,4,0,4
140,2008,Lagadeild,,351,404,755
141,2008,Lagadeild,Grunnnám,247,298,545
142,2008,Lagadeild,Viðbótarnám,0,0,0
143,2008,Lagadeild,Meistarapróf,102,104,206
144,2008,Lagadeild,Doktorspróf,2,2,4
145,2008,Stjórnmálafræðideild,,227,316,543
146,2008,Stjórnmálafræðideild,Grunnnám,121,117,238
147,2008,Stjórnmálafræðideild,Viðbótarnám,47,83,130
148,2008,Stjórnmálafræðideild,Meistarapróf,54,113,167
149,2008,Stjórnmálafræðideild,Doktorspróf,5,3,8
150,2008,Viðskiptafræðideild,,505,714,1219
151,2008,Viðskiptafræðideild,Grunnnám,279,312,591
152,2008,Viðskiptafræðideild,Viðbótarnám,26,56,82
153,2008,Viðskiptafræðideild,Meistarapróf,197,343,540
154,2008,Viðskiptafræðideild,Doktorspróf,3,3,6
155,2008,Hjúkrunarfræðideild,,15,523,538
156,2008,Hjúkrunarfræðideild,Grunnnám,11,334,345
157,2008,Hjúkrunarfræðideild,Viðbótarnám,2,129,131
158,2008,Hjúkrunarfræðideild,Meistarapróf,2,59,61
159,2008,Hjúkrunarfræðideild,Doktorspróf,0,1,1
160,2008,Lyfjafræðideild,,41,112,153
161,2008,Lyfjafræðideild,Grunnnám,28,74,102
162,2008,Lyfjafræðideild,Viðbótarnám,0,0,0
163,2008,Lyfjafræðideild,Meistarapróf,13,38,51
164,2008,Lyfjafræðideild,Doktorspróf,0,0,0
165,2008,Læknadeild,,184,346,530
166,2008,Læknadeild,Grunnnám,162,282,444
167,2008,Læknadeild,Viðbótarnám,0,11,11
168,2008,Læknadeild,Meistarapróf,12,30,42
169,2008,Læknadeild,Doktorspróf,10,23,33
170,2008,Matvæla- og næringarfræðideild,,12,65,77
171,2008,Matvæla- og næringarfræðideild,Grunnnám,8,47,55
172,2008,Matvæla- og næringarfræðideild,Viðbótarnám,0,1,1
173,2008,Matvæla- og næringarfræðideild,Meistarapróf,3,7,10
174,2008,Matvæla- og næringarfræðideild,Doktorspróf,1,10,11
175,2008,Sálfræðideild,,132,401,533
176,2008,Sálfræðideild,Grunnnám,117,352,469
177,2008,Sálfræðideild,Viðbótarnám,0,0,0
178,2008,Sálfræðideild,Meistarapróf,5,12,17
179,2008,Sálfræðideild,Doktorspróf,10,37,47
180,2008,Tannlæknadeild,,17,53,70
181,2008,Tannlæknadeild,Grunnnám,17,52,69
182,2008,Tannlæknadeild,Viðbótarnám,0,0,0
183,2008,Tannlæknadeild,Meistarapróf,0,1,1
184,2008,Tannlæknadeild,Doktorspróf,0,0,0
185,2008,"Deild erlendra tungumála, bókmennta og málvísinda",,173,482,655
186,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,87,231,318
187,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,16,71,87
188,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,14,82,96
189,2008,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,56,98,154
190,2008,Guðfræði- og trúarbragðafræðideild,,34,67,101
191,2008,Guðfræði- og trúarbragðafræðideild,Grunnnám,28,36,64
192,2008,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,3,24,27
193,2008,Guðfræði- og trúarbragðafræðideild,Meistarapróf,1,4,5
194,2008,Guðfræði- og trúarbragðafræðideild,Doktorspróf,2,3,5
195,2008,Íslensku- og menningardeild,,172,601,773
196,2008,Íslensku- og menningardeild,Grunnnám,139,459,598
197,2008,Íslensku- og menningardeild,Viðbótarnám,6,31,37
198,2008,Íslensku- og menningardeild,Meistarapróf,21,102,123
199,2008,Íslensku- og menningardeild,Doktorspróf,6,9,15
200,2008,Sagnfræði- og heimspekideild,,266,212,478
201,2008,Sagnfræði- og heimspekideild,Grunnnám,187,114,301
202,2008,Sagnfræði- og heimspekideild,Viðbótarnám,3,4,7
203,2008,Sagnfræði- og heimspekideild,Meistarapróf,46,71,117
204,2008,Sagnfræði- og heimspekideild,Doktorspróf,30,23,53
205,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,120,321,441
206,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,56,224,280
207,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,1,24,25
208,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,63,73,136
209,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
210,2008,Kennaradeild,,191,1297,1488
211,2008,Kennaradeild,Grunnnám,141,922,1063
212,2008,Kennaradeild,Viðbótarnám,28,146,174
213,2008,Kennaradeild,Meistarapróf,22,229,251
214,2008,Kennaradeild,Doktorspróf,0,0,0
215,2008,Uppeldis- og menntunarfræðideild,,35,243,278
